country,year,gdpPercap,continent,lifeExp,pop
Afghanistan,1799,674,Asia,28.2,3280000
Afghanistan,1800,674,Asia,28.2,3280000
Afghanistan,1801,674,Asia,28.2,3280000
Afghanistan,1802,674,Asia,28.2,3280000
Afghanistan,1803,674,Asia,28.2,3280000
Afghanistan,1804,674,Asia,28.2,3280000
Afghanistan,1805,674,Asia,28.1,3280000
Afghanistan,1806,674,Asia,28.1,3280000
Afghanistan,1807,674,Asia,28.1,3280000
Afghanistan,1808,674,Asia,28.1,3280000
Afghanistan,1809,675,Asia,28.1,3280000
Afghanistan,1810,675,Asia,28.1,3280000
Afghanistan,1811,675,Asia,28.1,3280000
Afghanistan,1812,675,Asia,28.1,3280000
Afghanistan,1813,675,Asia,28.1,3280000
Afghanistan,1814,675,Asia,28.1,3280000
Afghanistan,1815,675,Asia,28.1,3280000
Afghanistan,1816,675,Asia,28,3280000
Afghanistan,1817,675,Asia,28,3280000
Afghanistan,1818,675,Asia,28,3280000
Afghanistan,1819,675,Asia,28,3290000
Afghanistan,1820,679,Asia,28,3300000
Afghanistan,1821,681,Asia,28,3310000
Afghanistan,1822,683,Asia,28,3320000
Afghanistan,1823,685,Asia,28,3340000
Afghanistan,1824,688,Asia,27.9,3350000
Afghanistan,1825,690,Asia,27.9,3370000
Afghanistan,1826,692,Asia,27.9,3380000
Afghanistan,1827,694,Asia,27.9,3400000
Afghanistan,1828,697,Asia,27.9,3410000
Afghanistan,1829,699,Asia,27.9,3430000
Afghanistan,1830,701,Asia,27.9,3450000
Afghanistan,1831,704,Asia,27.9,3460000
Afghanistan,1832,707,Asia,27.9,3480000
Afghanistan,1833,709,Asia,27.9,3490000
Afghanistan,1834,711,Asia,27.9,3510000
Afghanistan,1835,713,Asia,27.8,3520000
Afghanistan,1836,716,Asia,27.8,3540000
Afghanistan,1837,719,Asia,27.8,3550000
Afghanistan,1838,721,Asia,27.8,3570000
Afghanistan,1839,723,Asia,27.8,3590000
Afghanistan,1840,726,Asia,27.8,3600000
Afghanistan,1841,728,Asia,27.8,3620000
Afghanistan,1842,731,Asia,27.8,3630000
Afghanistan,1843,733,Asia,27.8,3650000
Afghanistan,1844,736,Asia,27.8,3670000
Afghanistan,1845,738,Asia,27.7,3680000
Afghanistan,1846,741,Asia,27.7,3700000
Afghanistan,1847,743,Asia,27.7,3720000
Afghanistan,1848,746,Asia,27.7,3730000
Afghanistan,1849,748,Asia,27.7,3750000
Afghanistan,1850,751,Asia,27.7,3770000
Afghanistan,1851,754,Asia,27.7,3790000
Afghanistan,1852,756,Asia,27.7,3810000
Afghanistan,1853,758,Asia,27.7,3830000
Afghanistan,1854,761,Asia,27.6,3840000
Afghanistan,1855,764,Asia,27.6,3860000
Afghanistan,1856,766,Asia,27.6,3880000
Afghanistan,1857,769,Asia,27.6,3900000
Afghanistan,1858,771,Asia,27.6,3920000
Afghanistan,1859,774,Asia,27.6,3940000
Afghanistan,1860,777,Asia,27.6,3960000
Afghanistan,1861,779,Asia,27.6,3980000
Afghanistan,1862,782,Asia,27.6,4.00E+06
Afghanistan,1863,785,Asia,27.6,4020000
Afghanistan,1864,787,Asia,27.5,4040000
Afghanistan,1865,790,Asia,27.5,4060000
Afghanistan,1866,793,Asia,27.5,4080000
Afghanistan,1867,795,Asia,27.5,4100000
Afghanistan,1868,798,Asia,27.5,4120000
Afghanistan,1869,801,Asia,27.5,4140000
Afghanistan,1870,804,Asia,27.7,4160000
Afghanistan,1871,806,Asia,27.9,4180000
Afghanistan,1872,809,Asia,28.1,4210000
Afghanistan,1873,812,Asia,28.3,4230000
Afghanistan,1874,815,Asia,28.5,4250000
Afghanistan,1875,817,Asia,28.7,4270000
Afghanistan,1876,821,Asia,28.9,4290000
Afghanistan,1877,823,Asia,29.1,4310000
Afghanistan,1878,826,Asia,29.3,4330000
Afghanistan,1879,828,Asia,29.4,4350000
Afghanistan,1880,841,Asia,29.6,4380000
Afghanistan,1881,853,Asia,29.8,4400000
Afghanistan,1882,865,Asia,30,4420000
Afghanistan,1883,876,Asia,30.2,4440000
Afghanistan,1884,888,Asia,30.4,4460000
Afghanistan,1885,899,Asia,30.6,4490000
Afghanistan,1886,911,Asia,30.8,4510000
Afghanistan,1887,921,Asia,31,4530000
Afghanistan,1888,932,Asia,31.2,4550000
